dataset,feature,scoring_role,provider,model,semantic_relevance_mean,availability_mean,leakage_risk_mean,leakage_risk_std,prompt_count
adult,case_resolution_type,lasfs,deepseek,deepseek-v4-flash,0.0,0.0,1.0,0.0,30
adult,confirmed_result_code,lasfs,deepseek,deepseek-v4-flash,0.0,0.0,1.0,0.0,30
adult,final_outcome_flag,lasfs,deepseek,deepseek-v4-flash,0.0,0.0,1.0,0.0,30
adult,followup_action_group,lasfs,deepseek,deepseek-v4-flash,0.0,0.0,1.0,0.0,30
adult,outcome_verification_score,lasfs,deepseek,deepseek-v4-flash,0.26666666666666666,0.0,1.0,0.0,30
adult,post_decision_status,lasfs,deepseek,deepseek-v4-flash,0.0,0.0,1.0,0.0,30
adult,review_priority_index,lasfs,deepseek,deepseek-v4-flash,0.0,0.0,1.0,0.0,30
adult,risk_review_code,lasfs,deepseek,deepseek-v4-flash,0.0,0.0,1.0,0.0,30
adult,workflow_bucket_id,lasfs,deepseek,deepseek-v4-flash,0.0,0.0,1.0,0.0,30
adult,service_path_code,lasfs,deepseek,deepseek-v4-flash,0.0,0.0,0.6666666666666666,0.47946330148538413,30
adult,capital-loss,lasfs,deepseek,deepseek-v4-flash,0.5,0.6333333333333333,0.3,0.36198685440029543,30
adult,capital-gain,lasfs,deepseek,deepseek-v4-flash,0.7666666666666667,0.9333333333333333,0.06666666666666667,0.04794633014853842,30
adult,relationship,lasfs,deepseek,deepseek-v4-flash,0.5666666666666667,0.9666666666666667,0.06666666666666667,0.09589266029707684,30
adult,occupation,lasfs,deepseek,deepseek-v4-flash,0.8,0.9666666666666667,0.03333333333333333,0.04794633014853842,30
adult,workclass,lasfs,deepseek,deepseek-v4-flash,0.6666666666666666,0.9666666666666667,0.03333333333333333,0.04794633014853842,30
adult,age,lasfs,deepseek,deepseek-v4-flash,0.7,1.0,0.0,0.0,30
adult,age,llm_only,deepseek,deepseek-v4-flash,0.7,1.0,0.0,0.0,5
adult,capital-gain,llm_only,deepseek,deepseek-v4-flash,0.9,1.0,0.0,0.0,5
adult,capital-loss,llm_only,deepseek,deepseek-v4-flash,0.8,1.0,0.0,0.0,5
adult,case_resolution_type,llm_only,deepseek,deepseek-v4-flash,0.0,1.0,0.0,0.0,5
adult,confirmed_result_code,llm_only,deepseek,deepseek-v4-flash,0.0,1.0,0.0,0.0,5
adult,education,lasfs,deepseek,deepseek-v4-flash,0.8,1.0,0.0,0.0,30
adult,education,llm_only,deepseek,deepseek-v4-flash,0.8,1.0,0.0,0.0,5
adult,education-num,lasfs,deepseek,deepseek-v4-flash,0.7666666666666667,1.0,0.0,0.0,30
adult,education-num,llm_only,deepseek,deepseek-v4-flash,0.8,1.0,0.0,0.0,5
adult,final_outcome_flag,llm_only,deepseek,deepseek-v4-flash,0.0,1.0,0.0,0.0,5
adult,fnlwgt,lasfs,deepseek,deepseek-v4-flash,0.0,0.6666666666666666,0.0,0.0,30
adult,fnlwgt,llm_only,deepseek,deepseek-v4-flash,0.0,1.0,0.0,0.0,5
adult,followup_action_group,llm_only,deepseek,deepseek-v4-flash,0.0,1.0,0.0,0.0,5
adult,hours-per-week,lasfs,deepseek,deepseek-v4-flash,0.6666666666666666,1.0,0.0,0.0,30
adult,hours-per-week,llm_only,deepseek,deepseek-v4-flash,0.6,1.0,0.0,0.0,5
adult,marital-status,lasfs,deepseek,deepseek-v4-flash,0.7666666666666667,1.0,0.0,0.0,30
adult,marital-status,llm_only,deepseek,deepseek-v4-flash,0.9,1.0,0.0,0.0,5
adult,native-country,lasfs,deepseek,deepseek-v4-flash,0.43333333333333335,1.0,0.0,0.0,30
adult,native-country,llm_only,deepseek,deepseek-v4-flash,0.3,1.0,0.0,0.0,5
adult,occupation,llm_only,deepseek,deepseek-v4-flash,0.8,1.0,0.0,0.0,5
adult,outcome_verification_score,llm_only,deepseek,deepseek-v4-flash,0.0,1.0,0.0,0.0,5
adult,post_decision_status,llm_only,deepseek,deepseek-v4-flash,0.0,1.0,0.0,0.0,5
adult,race,lasfs,deepseek,deepseek-v4-flash,0.2,1.0,0.0,0.0,30
adult,race,llm_only,deepseek,deepseek-v4-flash,0.2,1.0,0.0,0.0,5
adult,relationship,llm_only,deepseek,deepseek-v4-flash,0.8,1.0,0.0,0.0,5
adult,review_priority_index,llm_only,deepseek,deepseek-v4-flash,0.0,1.0,0.0,0.0,5
adult,risk_review_code,llm_only,deepseek,deepseek-v4-flash,0.0,1.0,0.0,0.0,5
adult,service_path_code,llm_only,deepseek,deepseek-v4-flash,0.0,1.0,0.0,0.0,5
adult,sex,lasfs,deepseek,deepseek-v4-flash,0.3333333333333333,1.0,0.0,0.0,30
adult,sex,llm_only,deepseek,deepseek-v4-flash,0.6,1.0,0.0,0.0,5
adult,workclass,llm_only,deepseek,deepseek-v4-flash,0.6,1.0,0.0,0.0,5
adult,workflow_bucket_id,llm_only,deepseek,deepseek-v4-flash,0.0,1.0,0.0,0.0,5
bank,case_resolution_type,lasfs,deepseek,deepseek-v4-flash,0.3333333333333333,0.0,1.0,0.0,30
bank,final_outcome_flag,lasfs,deepseek,deepseek-v4-flash,0.0,0.0,1.0,0.0,30
